label,category,text
1,paltel,"عميلنا في PalTel، اشتراك Hadara أوشك على الانتهاء. جدّد فوراً: hadara-renew.ml"
1,paltel,"تنبيه Ooredoo: تم خصم رصيد إضافي. لاسترداده اضغط: ooredoo-back.gq"
1,paltel,"رمز الإلغاء الخاص بك من جوال هو 8821. للإلغاء أكمل في: jcancel.click"
1,paltel,"عزيزي العميل، تم رصد بيانات استخدام غير عادية. لإيقاف القرصنة عن خطك: paltel-secure.tk"
1,paltel,"عرض حصري لمشتركي جوال فقط: 50 GB إنترنت مجاني. سجل الآن: jawwal-free.top"
1,paltel,"تنبيه: شريحتك الـSIM ستُلغى خلال 6 ساعات لعدم التحقق. أعد التفعيل: simverify.xyz"
1,paltel,"PalTel: لتفعيل شبكة 5G في منطقتك، أكمل بياناتك: 5g-pal.click"
1,paltel,"إشعار جوال: لديك مكالمة دولية فائتة بقيمة 120$. للاسترداد ادخل: refund-call.ml"
1,gov,"وزارة المالية الفلسطينية: تم اعتماد استرداد ضريبي بقيمة 1200 ₪ لك. لاستلامه أدخل بياناتك: tax-pal.click"
1,gov,"الحكومة الفلسطينية: مساعدة طوارئ 500 شيكل لكل أسرة. سجّل قبل انتهاء المهلة: pa-aid.gq"
1,gov,"وزارة الصحة: تم تسجيل اسمك للقاح الإنفلونزا. أكمل بياناتك في: moh-pal.tk"
1,gov,"إشعار البلدية: عليك رسوم 280 ₪ مستحقة. ادفع إلكترونياً عبر: ramallah-pay.xyz"
1,gov,"وزارة الداخلية: انتهت صلاحية بطاقتك الشخصية. جدّدها أونلاين: id-renew-pal.ml"
1,gov,"دائرة السير: لديك مخالفة لم تُسدد بقيمة 350 ₪. الدفع: traffic-pal.click"
1,gov,"وزارة العمل: تم قبول طلب التوظيف الخاص بك. أكمل التسجيل النهائي: mol-jobs.gq"
1,gov,"السلطة الوطنية: دعم نقدي للأسر المتعففة. للتأهل قدّم طلبك في: pa-support.tk"
1,gov,"تأمين صحي: انتهت صلاحية تأمينك. للتجديد بسعر مخفّض: insure-pal.xyz"
1,prize,"مبروك! ربحت 5000 دولار في سحب رمضان. اتصل على 00972598123456 لاستلامها."
1,prize,"تهانينا! اسمك ضمن الفائزين بسيارة كيا 2024. للتسلّم أكمل: kia-pal-prize.tk"
1,prize,"مبروك ربحت رحلة عمرة مجانية. اضغط لتأكيد بياناتك خلال 12 ساعة: umrah-prize.ml"
1,prize,"اربح 1000 ₪ كاش الآن! فقط ادخل رقمك: cash-now.top"
1,prize,"الفائز رقم 23 في مسابقة جوال هو أنت! للحصول على الجائزة: prize-winner.xyz"
1,prize,"مبروك! ربحت آيفون 15 برو. لاستلامه أكمل التسجيل: iphone15-pal.click"
1,prize,"تم اختيارك في القرعة الذهبية لمحفظة 7000$. اتصل فوراً: 00447123456789"
1,prize,"عرض رمضان: 50% خصم على رحلتك. للحجز ادخل بطاقتك في: ramadan-fly.gq"
1,prize,"مبروك ربحت اشتراك نتفلكس مدى الحياة. تأكيد البيانات: netflix-pal.tk"
1,prize,"مكافأة عيد: 800 شيكل لجميع المشتركين. للسحب ادخل: eid-bonus.xyz"
1,delivery,"شركة Aramex: شحنتك معلّقة بسبب رسوم جمركية 95 ₪. ادفع لاستلامها: aramex-fee.click"
1,delivery,"DHL: طردك في انتظارك. أكمل العنوان لتسليمه اليوم: dhl-pal-deliver.tk"
1,delivery,"FedEx: تعذّر التوصيل. أعد جدولة التسليم خلال 24 ساعة: fedex-resched.gq"
1,delivery,"شركة البريد الفلسطيني: لديك طرد بانتظار الاستلام. أكمل التحقق: post-pal.ml"
1,delivery,"UPS: شحنتك علقت في الجمارك. للإفراج ادفع 110 شيكل: ups-customs.xyz"
1,delivery,"Aramex: تم تأجيل تسليم شحنتك بسبب عنوان غير مكتمل. حدّثه الآن: aramex-update.top"
1,delivery,"OTO Express: عميلنا الكريم، طردك عاد للمستودع. أعد طلب التسليم في: oto-redeliver.click"
1,delivery,"شحنتك (#PS4471) في انتظارك. ادفع رسوم التسليم: pkg-pay.tk"
1,delivery,"إشعار توصيل: غادر طردك مركز الفرز. للتأكيد ادفع 35 ₪: parcel-confirm.xyz"
1,delivery,"البريد: محاولة تسليم فاشلة. أعد جدولة التسليم: postpal-pickup.ml"
1,phishing,"حسابك على واتساب سيُغلق خلال ساعة لأسباب أمنية. لتأمينه ادخل الرمز في: wa-secure.click"
1,phishing,"تنبيه فيسبوك: تم إنشاء حساب جديد باسمك. لإلغائه اضغط: fb-cancel.tk"
1,phishing,"تنبيه أمن انستجرام: تسجيل دخول مشبوه من ألمانيا. اضغط: ig-protect.xyz"
1,phishing,"حسابك على Apple ID مغلق بسبب محاولات دخول. للفك: appleid-pal.gq"
1,phishing,"Microsoft: تم اكتشاف فيروس على جهازك. للإصلاح اتصل: 00187789123"
1,phishing,"Google: انتهت صلاحية كلمة المرور. غيّرها: google-secure.click"
1,phishing,"حسابك على PayPal محدود. أكمل التحقق: paypal-restore.tk"
1,phishing,"تم إيداع 250$ في محفظة الـCrypto الخاصة بك. للسحب: crypto-bonus.xyz"
1,phishing,"اشترك مجاناً في Disney+ لمدة سنة. سجل الآن: disney-pal.ml"
1,phishing,"حسابك على Netflix معلّق. للتجديد: netflix-billing.gq"
1,phishing,"OTP الخاص بحسابك: 884329. شارك الرمز فوراً مع موظف الدعم على 00972..."
1,phishing,"رمز التحقق: 778211. لا تشاركه مع أحد، إلا إذا اتصل بك الموظف."
1,phishing,"يرجى تثبيت تحديث الأمان: http://wa-update.click/install.apk"
1,phishing,"حدّث تطبيق البنك الآن للحصول على ميزات جديدة: bnk-app.tk/install.apk"
1,phishing,"Zoom: انتهت صلاحية اشتراكك. جدّد الآن: zoom-renew.xyz"
1,phishing,"تنبيه عاجل من Telegram: حسابك سيُحذف. أكّد ملكيته: tg-keep.ml"
1,phishing,"TikTok: حسابك تجاوز الحد. للاستعادة: tiktok-back.gq"
1,phishing,"تم الإبلاغ عن حسابك على X. للاستئناف: x-appeal.click"
1,phishing,"تهانينا! تم إيداع 2 BTC. للوصول إليها أدخل بياناتك: btc-claim.tk"
1,phishing,"عرض حصري: استثمر 100$ واربح 1000$ خلال أسبوع. سجل: invest-fast.xyz"
1,phishing,"Forex: صفقة ذهبية مضمونة. اتصل لتفاصيلها: forex-pro.ml"
1,phishing,"تم تسجيلك لاستلام راتب البطالة. أرسل بياناتك: unemploy-pal.gq"
1,phishing,"تطبيق ربح المال من المنزل: ادفع 50$ واستلم 500$ يومياً: home-cash.click"
1,phishing,"عميلنا الكريم، تم اختيار رقم بطاقتك ضمن الفائزين بمليون دولار."
1,phishing,"رسالة من رئيس الجمهورية: ساهم بحملة الخير عبر الرقم 09123..."
1,phishing,"المنظمة الدولية: نحتاج توقيعك ودعمك المالي عبر: charity-help.tk"
1,phishing,"حسابك مهدد بالاختراق. حمّل أداة الحماية: protect-app.xyz/setup.apk"
1,phishing,"خبر عاجل! تم الإبلاغ عن سرقة هويتك. تحقق هنا: idcheck.ml"
1,phishing,"محفظتك Skrill بانتظار التفعيل. أكمل البيانات: skrill-act.gq"
1,phishing,"اشترك في خدمة VIP بـ10$ شهرياً. للاشتراك أرسل CC: vip-sub.click"
1,phishing,"تم إلغاء حجزك في Booking.com. لاسترداد المبلغ: booking-refund.tk"
1,phishing,"Airbnb: مضيفك يحتاج تأكيد الدفع. أكمل: airbnb-pay.xyz"
1,phishing,"الطلب الخاص بك من Amazon لم يُسلم. اطلب استرداداً: amazon-refund.ml"
1,phishing,"رصيدك في Steam على وشك الانتهاء. حدّثه: steam-credit.gq"
1,phishing,"تنبيه: تطبيقك الذكي يستخدم بطارية مشبوهة. حلّ المشكلة بـapp جديد: battery-fix.click"
1,phishing,"رابط فيديو: شاهد ماذا قال عنك صديقك! http://see-now.tk"
1,phishing,"اضغط لمشاهدة الصور التي رفعتها زوجتك: private-leak.xyz"
1,phishing,"عرض كهرباء فلسطين: استرد 200 ₪. سجّل: pec-refund.ml"
1,phishing,"شركة الكهرباء: سيتم قطع التيار خلال 30 دقيقة. سدّد: pec-pay.gq"
1,phishing,"المياه: لديك تأخير دفع. ادفع لتجنب القطع: water-pal.click"
1,phishing,"شركة Bezeq: حسابك متأخر. الدفع: bezeq-now.tk"
1,phishing,"Pelephone: عرض خاص لك. سجل: pele-deal.xyz"
1,phishing,"الجامعة: انتهت مهلة دفع الرسوم. ادفع: uni-pay.ml"
1,phishing,"وزارة التربية: قُبلت في المنحة. أكمل: minha-edu.gq"
1,phishing,"PADICO: عرض استثماري حصري بعائد مضمون 30%. للتسجيل: padico-deal.click"
1,phishing,"بنكك أرسل لك مكافأة. للتأكيد ادخل بطاقتك: bnk-bonus.tk"
1,phishing,"تم تجميد محفظتك Apple Pay. لإعادة التفعيل: apay-restore.xyz"
1,phishing,"بطاقتك انتهت صلاحيتها. أكّد المعلومات: card-update.ml"
1,phishing,"رسالة الأمن السيبراني: جهازك مخترق. حمّل المسح المجاني: scan-now.gq"
0,legit_bank,"عميلنا الكريم، تم سحب 200 ₪ من بطاقتك في فرع البيرة. شكراً لاستخدامك بنك فلسطين."
0,legit_bank,"رمز التحقق الخاص بك من بنك فلسطين هو 449231. لا تشاركه مع أحد، نحن لن نطلبه منك أبداً."
0,legit_bank,"تم استلام راتبك بنجاح. الرصيد المتاح: 4250 ₪. مع تحيات Cairo Amman Bank."
0,legit_bank,"شكراً لاستخدامك خدمة التحويل الفوري. تم تحويل 800 ₪ إلى المستفيد بنجاح."
0,legit_bank,"تنبيه: تم تغيير كلمة المرور بنجاح من خلال تطبيق البنك. لم تكن أنت؟ راجع الفرع."
0,legit_bank,"تم سداد فاتورتك بقيمة 320 ₪. شكراً لاستخدامك خدمة الدفع الإلكتروني."
0,legit_bank,"عميلنا، توجّهت طلباتك للحصول على بطاقة جديدة وستصلك خلال 5 أيام عمل."
0,legit_bank,"تذكير: اجتماعك مع المستشار المالي غداً الثلاثاء الساعة 11 صباحاً في فرع رام الله."
0,legit_paltel,"عزيزي مشترك جوال، تم تجديد باقتك الشهرية بنجاح. اشتراكك ينتهي في 2026-06-12."
0,legit_paltel,"PalTel: تم تسجيل دفعتك بقيمة 99 ₪. شكراً لكم. للاستفسار اتصل 121."
0,legit_paltel,"رصيدك الحالي 23.50 ₪. لتعبئة الرصيد اتصل بـ#888#."
0,legit_paltel,"عميلنا الكريم، تم تسليم شريحتك الجديدة في فرع نابلس. شكراً لاختياركم Ooredoo."
0,legit_paltel,"تم إصدار فاتورتك الشهرية بقيمة 145 ₪. الرابط الرسمي: paltel.ps/bills"
0,legit_paltel,"إشعار جوال: تم تفعيل خدمة Hadara بنجاح في عنوانك المسجل."
0,legit_gov,"وزارة الصحة: موعد التطعيم المخصص لكم غداً الساعة 10 صباحاً في مركز رام الله."
0,legit_gov,"دائرة الأحوال المدنية: جواز سفركم جاهز للاستلام في فرعكم المختار."
0,legit_gov,"السلطة الوطنية: تم تسجيلكم في برنامج الدعم. التواصل سيكون من رقم محلي رسمي."
0,legit_gov,"إشعار من البلدية: ستجري أعمال صيانة طارئة للمياه غداً من 8 صباحاً حتى 12 ظهراً."
0,legit_gov,"وزارة التربية: نتائج التوجيهي ستصدر يوم الخميس عبر الموقع الرسمي moe.pna.ps فقط."
0,legit_delivery,"Aramex: شحنتك في طريقها إليك وستصل خلال 30-60 دقيقة. السائق سيتصل قبل الوصول."
0,legit_delivery,"DHL: تم تسليم طردكم بنجاح. شكراً لاختياركم خدماتنا."
0,legit_delivery,"البريد الفلسطيني: طردكم جاهز للاستلام في مكتب رام الله. ساعات العمل 8-3."
0,legit_delivery,"OTO Express: عاد سائقنا للمستودع، يرجى التواصل لإعادة جدولة التسليم على 02-2400123."
0,legit_personal,"السلام عليكم، كيف الحال؟ نشتاقك. متى نلتقي؟"
0,legit_personal,"يا أخي، الكتاب اللي حكيتلي عنه عند المكتبة الجديدة قرب الجامعة."
0,legit_personal,"تذكير: اجتماع الفريق غداً الساعة 9 صباحاً في المكتب."
0,legit_personal,"جبت الخبز والحليب من السوق. شي ثاني بدك ياه؟"
0,legit_personal,"عيدك مبارك يا حبيبي، الله يعيدها عليك بالخير والصحة."
0,legit_personal,"البنزين زاد سعره اليوم خمس قروش. عبّي تنكتك بالليل."
0,legit_personal,"الدكتور قال عمل الفحص ضروري قبل نهاية الأسبوع. خذ الموعد لو سمحت."
0,legit_personal,"شكراً للمساعدة أمس، ما قصرت. الله يخليك."
0,legit_personal,"الشغل ضاغط هاليومين، رح أتأخر بالعشاء. لا تنتظروني."
0,legit_personal,"سيارتي بدها زيت، رح آخذها للكراج بكرة الصبح."
0,legit_personal,"رح ترجعون من رحلة العقبة الجمعة؟ خبرني عشان أرتب."
0,legit_personal,"وصلت البيت بأمان. شكراً للتوصيلة."
0,legit_personal,"أمي بدها دواء الضغط من الصيدلية. مرورك يا أخي."
0,legit_personal,"المباراة بكرة الساعة 9 على شاشة الكافيه. رح نتجمع هناك."
0,legit_personal,"أرسلت لك الموقع على الواتساب، اتبعه."
0,legit_personal,"عذراً تأخرت، الإشارة كانت معطلة عند الدوار."
0,legit_business,"شكراً لشرائك من متجرنا. رقم طلبك 18829. سيصلك خلال 3 أيام عمل."
0,legit_business,"تم تأكيد حجزك في فندق البحر الميت ليوم 2026-06-15. للاستفسار: 02-2900900."
0,legit_business,"عيادة د. خالد: موعدك مؤكد يوم السبت الساعة 6 مساءً."
0,legit_business,"محل الإلكترونيات: اللابتوب اللي طلبته صار جاهز. تقدر تستلمه اليوم."
0,legit_business,"تم استلام طلبك من سوبرماركت السنابل. قيمة الطلب: 162 ₪. سيصلك خلال ساعة."
0,legit_business,"تذكير: موعد صيانة سيارتك الدورية يوم الأربعاء الساعة 8 صباحاً."
0,legit_business,"شكراً لاختياركم مطعم القدس. حجزكم لطاولة 4 أشخاص الليلة الساعة 8 مؤكد."
0,legit_business,"تنبيه: انتهت صلاحية اشتراكك في الجيم. لتجديده مر علينا في الفرع."
0,legit_business,"دار النشر: كتابك الجديد متوفر في المكتبات الكبرى ابتداءً من الأحد القادم."
0,legit_business,"تم رفع تقاريرك الطبية على بوابة المختبر الرسمية بنجاح."
0,legit_business,"محامي الإحسان: تأجل موعدك من غد إلى الإثنين الساعة 10 صباحاً."
0,legit_business,"تم استلام دفعة إيجار الشهر بنجاح. شكراً."
0,legit_business,"دورة اللغة الإنجليزية: المحاضرة القادمة الأحد الساعة 5. لا تنسوا الواجب."
0,legit_business,"الجمعية الخيرية: ساهمتك تسلمتنها وتم توجيهها للأسرة المحتاجة. جزاك الله خير."
0,legit_business,"شركة التأمين: انتهت صلاحية بوليصتك. للتجديد توجه إلى أقرب فرع لنا."
0,legit_business,"أكاديمية البرمجة: محاضرة تجريبية مجانية يوم السبت. سجل عبر موقعنا الرسمي."
0,legit_business,"عيادة الأسنان: نذكركم بضرورة الحضور قبل الموعد بـ15 دقيقة."
0,legit_business,"نادي اللياقة: تم تجديد اشتراكك حتى نهاية العام. شكراً لثقتكم."
0,legit_business,"ورشة السباكة: سنرسل الفني غداً الساعة 11 لإصلاح التسرب."
